name,type,start_time,duration,"mosi","miso"
"SPI","enable",6.37182432,0.00000016,,
"SPI","result",6.37199408,0.00084864,0x87,0xF8
"SPI","disable",6.37287536,0.00000016,,
"SPI","enable",6.46950096,0.00000016,,
"SPI","result",6.4695936,0.0008488,0x47,0xFE
"SPI","disable",6.47047104,0.00000016,,
"SPI","enable",6.47055488,0.00000016,,
"SPI","result",6.4707272,0.0008488,0x01,0xB8
"SPI","disable",6.47160592,0.00000016,,
"SPI","enable",6.47169648,0.00000016,,
"SPI","result",6.47197408,0.0008488,0x8B,0xB8
"SPI","disable",6.472856,0.00000016,,
"SPI","enable",6.47294368,0.00000016,,
"SPI","result",6.47310768,0.0008488,0x87,0x74
"SPI","disable",6.47399456,0.00000016,,
"SPI","enable",6.5706424,0.00000016,,
"SPI","result",6.57082064,0.00084864,0x47,0xFE
"SPI","disable",6.57171136,0.00000016,,
"SPI","enable",6.57179536,0.00000016,,
"SPI","result",6.57195424,0.00084864,0x01,0xB8
"SPI","disable",6.57282816,0.00000016,,
"SPI","enable",6.57291872,0.00000016,,
"SPI","result",6.57308768,0.0008488,0x8B,0xB8
"SPI","disable",6.57396976,0.00000016,,
"SPI","enable",6.57405744,0.00000016,,
"SPI","result",6.57422128,0.0008488,0x87,0x74
"SPI","disable",6.57531408,0.00000016,,
"SPI","enable",6.6717552,0.00000016,,
"SPI","result",6.67193456,0.0008488,0x47,0xFE
"SPI","disable",6.67282416,0.00000016,,
"SPI","enable",6.67290816,0.00000016,,
"SPI","result",6.67306816,0.0008488,0x01,0xB8
"SPI","disable",6.67395904,0.00000016,,
"SPI","enable",6.6740496,0.00000016,,
"SPI","result",6.67420176,0.00084864,0x8B,0xB8
"SPI","disable",6.675092,0.00000016,,
"SPI","enable",6.67517968,0.00000016,,
"SPI","result",6.67533536,0.00084864,0x87,0x74
"SPI","disable",6.67621264,0.00000016,,
"SPI","enable",6.77288896,0.00000016,,
"SPI","result",6.77304848,0.0008488,0x47,0xFE
"SPI","disable",6.77392176,0.00000016,,
"SPI","enable",6.77400576,0.00000016,,
"SPI","result",6.77418208,0.0008488,0x01,0xB8
"SPI","disable",6.77506624,0.00000016,,
"SPI","enable",6.7751568,0.00000016,,
"SPI","result",6.77531568,0.00084864,0x8B,0xB8
"SPI","disable",6.7761896,0.00000016,,
"SPI","enable",6.77627728,0.00000016,,
"SPI","result",6.77644928,0.00084864,0x87,0x74
"SPI","disable",6.77732832,0.00000016,,
"SPI","enable",6.87399504,0.00000016,,
"SPI","result",6.8741624,0.0008488,0x47,0xFE
"SPI","disable",6.87504608,0.00000016,,
"SPI","enable",6.87512992,0.00000016,,
"SPI","result",6.875296,0.0008488,0x01,0xB8
"SPI","disable",6.8761808,0.00000016,,
"SPI","enable",6.87627152,0.00000016,,
"SPI","result",6.8764296,0.0008488,0x8B,0xB8
"SPI","disable",6.87749088,0.00000016,,
"SPI","enable",6.87757856,0.00000016,,
"SPI","result",6.87767648,0.0008488,0x87,0x74
"SPI","disable",6.87855728,0.00000016,,
"SPI","enable",6.97529072,0.00000016,,
"SPI","result",6.97538976,0.0008488,0x47,0xFE
"SPI","disable",6.97703376,0.00000016,,
"SPI","enable",6.9771176,0.00000016,,
"SPI","result",6.97720352,0.0008488,0x01,0xB8
"SPI","disable",6.97807824,0.00000016,,
"SPI","enable",6.9781688,0.00000016,,
"SPI","result",6.97833712,0.00084864,0x8B,0xB8
"SPI","disable",6.97921968,0.00000016,,
"SPI","enable",6.97930736,0.00000016,,
"SPI","result",6.97947072,0.00084864,0x87,0x74
"SPI","disable",6.98034976,0.00000016,,
"SPI","enable",6.98063552,0.00000016,,
"SPI","result",6.98083088,0.0008488,0x47,0xFE
"SPI","disable",6.98170464,0.00000016,,
"SPI","enable",6.98180656,0.00000016,,
"SPI","result",6.98196448,0.0008488,0x01,0xB8
"SPI","disable",6.98283952,0.00000016,,
"SPI","enable",6.98293008,0.00000016,,
"SPI","result",6.98309808,0.00084864,0x8B,0xB8
"SPI","disable",6.98469696,0.00000016,,
"SPI","enable",6.98478464,0.00000016,,
