name,type,start_time,duration,"mosi","miso"
"SPI","disable",1.643778397,0.000000001,,
"SPI","enable",1.643865706,0.000000001,,
"SPI","result",1.644034529,0.000848125,0xB8,0x8B
"SPI","disable",1.644920009,0.000000001,,
"SPI","enable",1.645004476,0.000000001,,
"SPI","result",1.645168062,0.000848118,0x74,0x87
"SPI","disable",1.646050225,0.000000001,,
"SPI","enable",1.742733044,0.000000001,,
"SPI","result",1.742878184,0.000848123,0xFE,0x47
"SPI","disable",1.744275792,0.000000001,,
"SPI","enable",1.744356461,0.000000001,,
"SPI","result",1.74446512,0.000848125,0xB8,0x01
"SPI","disable",1.745356502,0.000000001,,
"SPI","enable",1.745443815,0.000000001,,
"SPI","result",1.745598647,0.000848126,0xB8,0x8B
"SPI","disable",1.746480044,0.000000001,,
"SPI","enable",1.746564489,0.000000001,,
"SPI","result",1.746732184,0.000848116,0x74,0x87
"SPI","disable",1.74761881,0.000000001,,
"SPI","enable",1.844280695,0.000000001,,
"SPI","result",1.844442301,0.000848125,0xFE,0x47
"SPI","disable",1.845316888,0.000000001,,
"SPI","enable",1.845397553,0.000000001,,
"SPI","result",1.84557583,0.000848123,0xB8,0x01
"SPI","disable",1.846451878,0.000000001,,
"SPI","enable",1.846539179,0.000000001,,
"SPI","result",1.846709358,0.000848123,0xB8,0x8B
"SPI","disable",1.847593507,0.000000001,,
"SPI","enable",1.847677952,0.000000001,,
"SPI","result",1.847842894,0.000848114,0x74,0x87
"SPI","disable",1.84873228,0.000000001,,
"SPI","enable",1.945415098,0.000000001,,
"SPI","result",1.945553013,0.000848123,0xFE,0x47
"SPI","disable",1.946433229,0.000000001,,
"SPI","enable",1.946513874,0.000000001,,
"SPI","result",1.946686543,0.000848119,0xB8,0x01
"SPI","disable",1.947568198,0.000000001,,
"SPI","enable",1.947655503,0.000000001,,
"SPI","result",1.947820067,0.000848123,0xB8,0x8B
"SPI","disable",1.948709827,0.000000001,,
"SPI","enable",1.948794272,0.000000001,,
"SPI","result",1.948953602,0.000848117,0x74,0x87
"SPI","disable",1.949830507,0.000000001,,
"SPI","enable",2.046499987,0.000000001,,
"SPI","result",2.046663582,0.000848122,0xFE,0x47
"SPI","disable",2.047554317,0.000000001,,
"SPI","enable",2.047634955,0.000000001,,
"SPI","result",2.047797109,0.000848121,0xB8,0x01
"SPI","disable",2.048671187,0.000000001,,
"SPI","enable",2.048758483,0.000000001,,
"SPI","result",2.048930634,0.000848124,0xB8,0x8B
"SPI","disable",2.049812812,0.000000001,,
"SPI","enable",2.049897263,0.000000001,,
"SPI","result",2.050064169,0.000848117,0x74,0x87
"SPI","disable",2.050951582,0.000000001,,
"SPI","enable",2.147621068,0.000000001,,
"SPI","result",2.147774291,0.000848121,0xFE,0x47
"SPI","disable",2.148657302,0.000000001,,
"SPI","enable",2.148737944,0.000000001,,
"SPI","result",2.148907815,0.000848123,0xB8,0x01
"SPI","disable",2.149792262,0.000000001,,
"SPI","enable",2.149879552,0.000000001,,
"SPI","result",2.150041341,0.000848125,0xB8,0x8B
"SPI","disable",2.150915803,0.000000001,,
"SPI","enable",2.151000249,0.000000001,,
"SPI","result",2.151174877,0.000848116,0x74,0x87
"SPI","disable",2.152054567,0.000000001,,
"SPI","enable",2.248724063,0.000000001,,
"SPI","result",2.248884997,0.000848123,0xFE,0x47
"SPI","disable",2.24976029,0.000000001,,
"SPI","enable",2.24984093,0.000000001,,
"SPI","result",2.250018504,0.000848143,0xB8,0x01
"SPI","disable",2.250895252,0.000000001,,
"SPI","enable",2.250982556,0.000000001,,
"SPI","result",2.251152051,0.000848124,0xB8,0x8B
"SPI","disable",2.252036875,0.000000001,,
"SPI","enable",2.252121327,0.000000001,,
"SPI","result",2.252285584,0.000848117,0x74,0x87
"SPI","disable",2.253175642,0.000000001,,
"SPI","enable",2.34984514,0.000000001,,
"SPI","result",2.349995705,0.000848126,0xFE,0x47
"SPI","disable",2.35088137,0.000000001,,
"SPI","enable",2.350962009,0.000000001,,
"SPI","result",2.351129233,0.000848123,0xB8,0x01
"SPI","disable",2.352016317,0.000000001,,
"SPI","enable",2.352103631,0.000000001,,
"SPI","result",2.352262759,0.000848125,0xB8,0x8B
"SPI","disable",2.353139862,0.000000001,,
"SPI","enable",2.353224317,0.000000001,,
"SPI","result",2.353396293,0.00084812,0x74,0x87
"SPI","disable",2.354278635,0.000000001,,
"SPI","enable",2.450948123,0.000000001,,
"SPI","result",2.451106421,0.000848121,0xFE,0x47
"SPI","disable",2.451984349,0.000000001,,
"SPI","enable",2.452064981,0.000000001,,
"SPI","result",2.452239944,0.000848125,0xB8,0x01
"SPI","disable",2.453119313,0.000000001,,
"SPI","enable",2.453206622,0.000000001,,
"SPI","result",2.453373471,0.000848125,0xB8,0x8B
"SPI","disable",2.454260943,0.000000001,,
"SPI","enable",2.454345393,0.000000001,,
"SPI","result",2.454507007,0.000848118,0x74,0x87
"SPI","disable",2.455381618,0.000000001,,
"SPI","enable",2.552065398,0.000000001,,
"SPI","result",2.552216991,0.000848122,0xFE,0x47
"SPI","disable",2.553101624,0.000000001,,
"SPI","enable",2.553182269,0.000000001,,
"SPI","result",2.553350516,0.000848123,0xB8,0x01
"SPI","disable",2.554236587,0.000000001,,
"SPI","enable",2.554323887,0.000000001,,
"SPI","result",2.554484046,0.000848121,0xB8,0x8B
"SPI","disable",2.555360127,0.000000001,,
"SPI","enable",2.555444571,0.000000001,,
"SPI","result",2.555617578,0.000848116,0x74,0x87
"SPI","disable",2.556498898,0.000000001,,
"SPI","enable",2.653164574,0.000000001,,
"SPI","result",2.653327698,0.000848121,0xFE,0x47
"SPI","disable",2.654218878,0.000000001,,
"SPI","enable",2.654299531,0.000000001,,
"SPI","result",2.654461224,0.000848123,0xB8,0x01
"SPI","disable",2.655338606,0.000000001,,
"SPI","enable",2.655425923,0.000000001,,
"SPI","result",2.655594752,0.000848122,0xB8,0x8B
"SPI","disable",2.65648023,0.000000001,,
"SPI","enable",2.656564694,0.000000001,,
"SPI","result",2.656728285,0.000848117,0x74,0x87
"SPI","disable",2.657619017,0.000000001,,
"SPI","enable",2.754302789,0.000000001,,
"SPI","result",2.754438409,0.000848122,0xFE,0x47
"SPI","disable",2.755320924,0.000000001,,
"SPI","enable",2.755401563,0.000000001,,
"SPI","result",2.755571937,0.000848121,0xB8,0x01
"SPI","disable",2.756455889,0.000000001,,
"SPI","enable",2.756543194,0.000000001,,
"SPI","result",2.756705464,0.000848122,0xB8,0x8B
"SPI","disable",2.75757942,0.000000001,,
"SPI","enable",2.757663874,0.000000001,,
"SPI","result",2.757838997,0.000848116,0x74,0x87
"SPI","disable",2.758718192,0.000000001,,
"SPI","enable",2.855361977,0.000000001,,
"SPI","result",2.855549125,0.000848119,0xFE,0x47
"SPI","disable",2.856434387,0.000000001,,
"SPI","enable",2.856515023,0.000000001,,
"SPI","result",2.856682648,0.000848123,0xB8,0x01
"SPI","disable",2.857569346,0.000000001,,
