,index,name,type,start_time,duration,mosi,miso,~miso,decoded,meaning,CB1,CB1_bin,BED,BED_bin
1729,5188,SPI,result,18.55202496,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1730,5191,SPI,result,18.55327184,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1731,5194,SPI,result,18.55451872,0.0008488,0x87,0xFF,0x00,EOM,,,,,
1732,5197,SPI,result,18.55565232,0.00084864,0x47,0x76,0x89,BED,pattern fully received,,,0x89,10001001
1733,5200,SPI,result,18.55780608,0.00084864,0x89,0xB8,0x47,ACK,,,,,
1734,5203,SPI,result,18.55893968,0.00084864,0xF0,0xB8,0x47,CB1,???,0xF0,11110000,,
1735,5206,SPI,result,18.56007312,0.0008488,0x87,0x0F,0xF0,EOM,,,,,
1736,5209,SPI,result,18.56120672,0.0008488,0x47,0x42,0xBD,BED,???,,,0xBD,10111101
1737,5212,SPI,result,18.56234032,0.0008488,0xBD,0xB8,0x47,ACK,,,,,
1738,5215,SPI,result,18.56347392,0.00084864,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
1739,5218,SPI,result,18.56460736,0.0008488,0x87,0xF8,0x07,EOM,,,,,
1740,5221,SPI,result,18.66232048,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1741,5224,SPI,result,18.66345392,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1742,5227,SPI,result,18.66458752,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1743,5230,SPI,result,18.66617456,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1744,5233,SPI,result,18.76388736,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1745,5236,SPI,result,18.76502096,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1746,5239,SPI,result,18.76615456,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1747,5242,SPI,result,18.7680816,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1748,5245,SPI,result,18.86579472,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1749,5248,SPI,result,18.86692832,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1750,5251,SPI,result,18.86806192,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1751,5254,SPI,result,18.86919552,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1752,5257,SPI,result,18.9669088,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1753,5260,SPI,result,18.9680424,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1754,5263,SPI,result,18.96917584,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1755,5266,SPI,result,18.97076288,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1756,5269,SPI,result,19.06847616,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1757,5272,SPI,result,19.06960976,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1758,5275,SPI,result,19.07074336,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1759,5278,SPI,result,19.0726704,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1760,5281,SPI,result,19.12436096,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1761,5284,SPI,result,19.12549456,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1762,5287,SPI,result,19.126628,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1763,5290,SPI,result,19.1277616,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1764,5293,SPI,result,19.12900848,0.0008488,0x47,0x72,0x8D,BED,eol/direction change,,,0x8D,10001101
1765,5296,SPI,result,19.13014208,0.0008488,0x8D,0xB8,0x47,ACK,,,,,
1766,5299,SPI,result,19.1318424,0.0008488,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
1767,5302,SPI,result,19.132976,0.0008488,0x87,0xF8,0x07,EOM,,,,,
1768,5305,SPI,result,19.23068928,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1769,5308,SPI,result,19.23250304,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1770,5311,SPI,result,19.23363648,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1771,5314,SPI,result,19.23477008,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1772,5317,SPI,result,19.33248336,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1773,5320,SPI,result,19.3336168,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1774,5323,SPI,result,19.3347504,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1775,5326,SPI,result,19.335884,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1776,5329,SPI,result,19.43359728,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1777,5332,SPI,result,19.43473088,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1778,5335,SPI,result,19.4367712,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1779,5338,SPI,result,19.4379048,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1780,5341,SPI,result,19.53561808,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1781,5344,SPI,result,19.53675168,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1782,5347,SPI,result,19.53788528,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1783,5350,SPI,result,19.53901888,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1784,5353,SPI,result,19.63661872,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1785,5356,SPI,result,19.63775232,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1786,5359,SPI,result,19.63888592,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1787,5362,SPI,result,19.64001952,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1788,5365,SPI,result,19.7377328,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1789,5368,SPI,result,19.73886624,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1790,5371,SPI,result,19.73999984,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1791,5374,SPI,result,19.74113344,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1792,5377,SPI,result,19.83884656,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1793,5380,SPI,result,19.83998016,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1794,5383,SPI,result,19.84134048,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1795,5386,SPI,result,19.84247408,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1796,5389,SPI,result,19.94018736,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1797,5392,SPI,result,19.94132096,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1798,5395,SPI,result,19.9424544,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1799,5398,SPI,result,19.943588,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1800,5401,SPI,result,20.04130128,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1801,5404,SPI,result,20.04243488,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1802,5407,SPI,result,20.04368176,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1803,5410,SPI,result,20.04481536,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1804,5413,SPI,result,20.14241536,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1805,5416,SPI,result,20.1435488,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1806,5419,SPI,result,20.1446824,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1807,5422,SPI,result,20.145816,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1808,5425,SPI,result,20.24364272,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1809,5428,SPI,result,20.24477616,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1810,5431,SPI,result,20.24590976,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1811,5434,SPI,result,20.24704336,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1812,5437,SPI,result,20.34475648,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1813,5440,SPI,result,20.34589008,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1814,5443,SPI,result,20.34702368,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1815,5446,SPI,result,20.34815728,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1816,5449,SPI,result,20.44587056,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1817,5452,SPI,result,20.447004,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1818,5455,SPI,result,20.4481376,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1819,5458,SPI,result,20.4492712,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1820,5461,SPI,result,20.54698448,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1821,5464,SPI,result,20.54811808,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1822,5467,SPI,result,20.54925168,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1823,5470,SPI,result,20.55038528,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1824,5473,SPI,result,20.64809856,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1825,5476,SPI,result,20.649232,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1826,5479,SPI,result,20.6503656,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1827,5482,SPI,result,20.6514992,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1828,5485,SPI,result,20.74921248,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1829,5488,SPI,result,20.75034608,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1830,5491,SPI,result,20.75147968,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1831,5494,SPI,result,20.75261312,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1832,5497,SPI,result,20.8503264,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1833,5500,SPI,result,20.85146,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1834,5503,SPI,result,20.85259344,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1835,5506,SPI,result,20.85372704,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1836,5509,SPI,result,20.95144032,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1837,5512,SPI,result,20.95257392,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1838,5515,SPI,result,20.9538208,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1839,5518,SPI,result,20.9549544,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1840,5521,SPI,result,21.05266768,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1841,5524,SPI,result,21.05380128,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1842,5527,SPI,result,21.05493488,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1843,5530,SPI,result,21.05606832,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1844,5533,SPI,result,21.15378176,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1845,5536,SPI,result,21.1549152,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1846,5539,SPI,result,21.1560488,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1847,5542,SPI,result,21.1571824,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1848,5545,SPI,result,21.25489568,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1849,5548,SPI,result,21.25602928,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1850,5551,SPI,result,21.25716288,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1851,5554,SPI,result,21.25829632,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1852,5557,SPI,result,21.3560096,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1853,5560,SPI,result,21.3571432,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1854,5563,SPI,result,21.35827664,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1855,5566,SPI,result,21.35941024,0.0008488,0x87,0x74,0x8B,EOM,,,,,
